method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,1.0,0.918918918918919,0.08108108108108103,0.06156156156156156,0.1006381381381381,5.497824417943775e-13,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,1.0,0.918918918918919,0.08108108108108103,0.06156156156156156,0.1006381381381381,5.497824417943775e-13,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,1.0,0.918918918918919,0.08108108108108103,0.06156156156156156,0.1006381381381381,5.497824417943775e-13,True,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,1.0,0.918918918918919,0.08108108108108103,0.06156156156156156,0.1006381381381381,5.497824417943775e-13,True,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,1.0,1.0,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.5,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.5,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
