method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,536.0601,,0.9751,,0.1121,0.1206
r2v@0.2,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,526.4955,,0.9479,,0.1121,0.1206
r2v@0.3,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.1121,0.1206
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,11.4805,,0.0004,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,536.0601,,0.9751,,,
r2v@0.2,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,526.4955,,0.9479,,,
r2v@0.3,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.4,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.5,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.6,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.7,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.8,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,11.4805,,0.0004,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
