method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,humaneval,noisy,success_rate,0.9984984984984985,0.918918918918919,0.0795795795795795,0.06006006006006006,0.1006006006006006,9.14823772291129e-13,True,,mcnemar
r2v@0.1,llm_only,humaneval,noisy,success_rate,0.9984984984984985,1.0,-0.0015015015015015232,-0.0045045045045045045,0.0,1.0,False,,mcnemar
r2v@0.1,entropy_router,humaneval,noisy,success_rate,0.9984984984984985,0.9594594594594594,0.03903903903903905,0.024024024024024024,0.05405405405405406,2.306187599332432e-06,True,,mcnemar
r2v@0.1,oracle_router,humaneval,noisy,success_rate,0.9984984984984985,1.0,-0.0015015015015015232,-0.0045045045045045045,0.0,1.0,False,,mcnemar
r2v@0.2,slm_only,humaneval,noisy,success_rate,0.9864864864864865,0.918918918918919,0.06756756756756754,0.04954954954954955,0.08708708708708708,5.412159609363698e-11,True,,mcnemar
r2v@0.2,llm_only,humaneval,noisy,success_rate,0.9864864864864865,1.0,-0.013513513513513487,-0.02252252252252252,-0.006006006006006006,0.00390625,True,,mcnemar
r2v@0.2,entropy_router,humaneval,noisy,success_rate,0.9864864864864865,0.9594594594594594,0.027027027027027084,0.010510510510510511,0.04354354354354354,0.003551464807706073,True,,mcnemar
r2v@0.2,oracle_router,humaneval,noisy,success_rate,0.9864864864864865,1.0,-0.013513513513513487,-0.02252252252252252,-0.006006006006006006,0.00390625,True,,mcnemar
r2v@0.3,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.3,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.3,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9594594594594594,-0.04054054054054046,-0.05555555555555555,-0.02702702702702703,5.623957756162312e-07,True,,mcnemar
r2v@0.3,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.4,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.4,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.4,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9594594594594594,-0.04054054054054046,-0.05555555555555555,-0.02702702702702703,5.623957756162312e-07,True,,mcnemar
r2v@0.4,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.5,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
r2v@0.5,llm_only,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.5,entropy_router,humaneval,noisy,success_rate,0.918918918918919,0.9594594594594594,-0.04054054054054046,-0.05555555555555555,-0.02702702702702703,5.623957756162312e-07,True,,mcnemar
r2v@0.5,oracle_router,humaneval,noisy,success_rate,0.918918918918919,1.0,-0.08108108108108103,-0.1006381381381381,-0.06156156156156156,5.497824417943775e-13,True,,mcnemar
r2v@0.6,slm_only,humaneval,noisy,success_rate,0.918918918918919,0.918918918918919,0.0,0.0,0.0,1.0,False,,mcnemar
